	win	date	time	titles	reviews
0	2020-08-26	2020-08-26	23:04:00	타격코치 	30년 이상 삼성야구 본사람으로서 처음 여기에 글 쓰는데요. 최근 몇년간 삼성이 여러가지로 바뀐게 많은데요. 예년과 가장 다른 점은 타격이 모두 당겨치는 타구가 너무 많습니다. 아마 타이밍을 앞에 둬야 정타와 장타가 많이 나오기 때문에 타격코치가 주문한게 아닌가 합니다.하지만 변화구에 당할 확률이 너무 커지기에 투수가 던지기 너무 쉬워집니다.투수는 직구로 파울 파울 해 주다가 변화구 하나 던지면되는 쉬운 승부를 할수 있죠. 지금 대부분의 타자들 한번 스윙 나오면 다음공 그 다음공에 방망이가 거의 다 나옵니다. 타이밍을 빨리 맞추면 지난 공 파울 난거보다 잘칠수 있을것 같거든요. 박해민 빼고 8명 모두 당겨치고 있습니다. 한가지에 집착하지 말기를 바랍니다. 혹시 감독이 빠른 타이밍에 당겨치는게 확률이 높은 야구라고 주문했는지도 모르겠지만요. 내년에는 spread hitter 들이 많았으면 하는 바램으로 적어 봤습니다. 
1	2020-08-26	2020-08-26	22:48:00	김동엽과 주시력(主視力), 그밖에... 	 김동엽과 주시력(主視力), 그밖에...     저의 블로그에서 주시력(主視力)에 대한 이야기를 몇 차례 했었는데 의외로 프로선수들이 주시력에 대한 개념조차 없는 경우가 많았습니다. 코치들도 주시력이 뭔지 모르는 분들이 대부분이고요.     최근 김동엽 선수가 클로즈드 스탠스에서 오픈 스탠스로 바꾼 뒤에 공이 잘 보인다는 인터뷰를 했는데 그 이유가 바로 주시력에 있습니다.    먼저 그림에서처럼 동그라미를 만든 뒤에 그 속에 골프공이 들어오도록 합니다.     그런 상황을 유지한 채로 왼쪽 눈을 감았을 때 공이 동그라미 속에 그대로 있으면 오른쪽 눈이 주시력입니다. 하지만 공이 사라지면 왼쪽 눈이 주시력이 되는 것입니다. 우리는 두 눈으로 사물을 보.지만 주된 역할을 하는 눈이 있습니다.     김동엽 선수는 분명히 오른쪽 눈이 주시력일 것입니다.     그런 선수가 클로즈드 스탠스로 투수가 던지는 공을 보면 오른쪽 눈이 콧등에 가려 공을 정확하게 보기 어려웠을 것입니다. 그런데 오픈 스탠스로 바꾸니 오른쪽 눈이 보다 쉽게 공을 볼 수 있어 ‘훨씬 공이 잘 보인다’고 하는 것이지요.     이것으로 김동엽의 타격 교정은 50%가 이루어진 것입니다. 그렇다면 나머지 50%는 무엇일까요? 흔히 힘을 빼고 스윙을 하라고 하는데 이는 그리 쉬운 일이 아닙니다. 더구나 손목 힘이 장사인 김동엽 선수의 경우에는 말입니다. (이것은 이성규도 마찬가지입니다.)    그림에서처럼 공에서 공 2개 정도의 후방에 드라이버를 정렬합니다. (무슨 드라이버가 저렇게 생겼냐고요? 80년대 중반 메탈 드라이버가 나오기 전에 제가 사용했던 그야말로 우드(퍼시몬) 드라이버입니다.)     그다음 팔로만 하프스윙을 한 뒤에 헤드를 다시 본래의 자리로 되돌려봅니다. 프로골퍼도 팔의 감각으로만 하프스윙을 하면 헤드를 제자리에 되돌리기가 매우 어렵습니다.     그러면 팔은 사용하지 않고 몸통으로 하프스윙을 한 뒤에 헤드를 제자리로 돌려봅니다. 아마추어도 즉시 그것이 가능합니다.     우리 몸은 수많은 근육으로 이루어져 있는데 작은 근육보다 큰 근육이 더 일정하게 움직입니다. 작은 근육은 길들이기가 쉬운 반면에 동일한 동작을 잘 기억하지 못합니다. 하지만 큰 근육은 길들이기가 어렵지만 한번 입력된 동작은 잊어버리지 않습니다.     그러므로 김동엽 선수가 오픈 스탠스로 타격의 50%를 교정했다면 이제는 몸통스윙으로 나머지 50%를 교정해야 합니다.     교정 방법은 의외로 간단합니다. 티볼 위에 공을 올려놓고 팔의 근육은 전혀 사용하지 말고 몸통과 눈만 이용하여 타격하는 연습을 하면 됩니다.(팔은 그냥 몸통에 따라가면서) 즉 타격은 몸통, 눈, 상체의 순으로 이루어져야 된다는 것이지요. 팔이 주도적으로 스윙을 하는 것이 아니라 몸통이 주도적으로 보디 턴을 하면서 눈으로 본 것에 상체(팔)가 따라가면서 스윙을 해야 정교한 타격을 할 수 있다는 것입니다.     실제로 이 부분을 강조하는 코치들이 잘 없습니다.     다음은 구자욱 선수에 대한 이야기입니다. 구자욱의 어깨(송구 능력)는 매우 좋은 편이지만 송구의 정확도는 그리 신통하지 않습니다. 하체가 문제입니다.     이것을 교정하는 방법 역시 의외로 간단합니다. 우투수가 투구할 때 그의 왼발 엄지발가락은 홈플레이트를 향해야 좋은 제구가 가능합니다. 포수가 2루로 스틸 하는 주자를 잡을 때 가장 중요한 것이 왼쪽 엄지발가락이 2루 베이스 우측 지점을 향하는 것입니다.     마찬가지로 야수들도 송구를 할 경우 반드시 왼쪽 엄지발가락(우투의 경우)이 목표점을 향해야 합니다. 그러면 공이 짧거나 길 수는 있어도 좌우의 오차는 없게 되는 것이지요. 구자욱이 이것을 유념한다면 누상에서 횡사하는 주자들 많이 나올 것입니다.     마지막으로 팔카 선수는 좀 더 지켜봐야겠지만 뚜렷한 약점이 보입니다. 러프의 경우 타석에서 비교적 정위치에 서서 타격을 했습니다. 정위치에 서면 덩치가 큰 선수들은 몸 쪽 공에 대처하기가 참 어렵습니다. 하지만 러프는 팔꿈치를 단단하게 몸통에 붙이고 보디 턴으로 홈런도 생산했었지요.     팔카는 몸 쪽 공에 대한 대처를 하기 위해서 타석에서 홈플레이트로부터 한 족장 멀리 떨어져서 자리를 잡습니다. 이럴 경우 바깥쪽 높은 볼에 대처하기가 매우 어렵습니다. 잘 맞아도 파울이 나기 쉽고요. (바깥쪽 보더라인에 걸치는 스트라이크가 모두 어렵습니다.)     좀 더 지켜봐야겠지만 팔카의 경우 큰 무대의 투수들과 KBO의 투수들의 투구 내용이 많이 다르다는 것을 얼마나 빨리 파악하느냐가 관건이라는 생각을 해봤습니다.     Good Night.     사족) 태풍에 피해 없기 바랍니다.     <2020. 8. 26. 晩聳.>  
2	2020-08-26	2020-08-26	22:42:00	팬들은 바란다 오재일과 최주환 꼭 잡아달라 팔카와 중심타선 	대신 우규민과 백정현 이원석은 놓쳐도 좋다 
3	2020-08-26	2020-08-26	22:30:00	프런트 	삼성 야구단은 단장감독선수프러트 다썩고 능력부족이기고자하는마음다썩어서프로선수가아닌 진정한 사회인야구단입니다야구몰라요 나와서 베트한번휘둘리고 글러브0에 공한벉던지고받고 퇴근하면돈나와요 삼성야구단은죽어습니다 삼가야구단의명분을빌미다 
4	2020-08-26	2020-08-26	22:26:00	최지광선수 	후반으로 갈수록 구위 제구력 떨어지는 작년에도 그렇고 체력이 약한가요 
5	2020-08-26	2020-08-26	22:14:00	포수의 문제.. 	 전번주부터 야구 안 봤다,기대를 접었다,다만 팔카 때문에 어제 잠깐 보고 오늘은 첨부터 이겨서 봤는데 라모스한테 홈런맞고  테레비 껐다,,인제 심창민이나 강한울이 조금 볼거고 야구 볼 생각없다, 넘  못 한다,올해는 스크와 한화가 너무 못 해서 그렇지.. 삼성도 만만찮다,후반으로 갈수록 허감독의 다양한 시도도 없고 무기력한 모습밖에 없다,,  문젠 강민호의 리드가 문제가 많다..약한 팀이 너무 정면 승부를 해대니까 자꾸 얻어맞는 거다, 유강남이 봐라,얼마나 얄밉게 리드하나? 팔카 나오니 아예 공이 가운데로 오지도 않고 아웃코너로 빠져않아서 공을 안 주잖아,,강민호는 너무 정면 승부를 해,..강민호의 체력과도 관련된다, 강민호가 거의 전경기 나오는 거도 문제지만,,중심타선에 기용하고 너무 강민호에 부담을 준다,  이형종이한테 안타 맞았을 때 투코가 마운드에 나가야했다,,투포수를 진정시키고,,진정시키고 가야하는데 투코가 마운드에 올라오는 거에 너무 인색하다,, 올 시즌 끝났다,, 다만 마지막으로 코칭스탭 개편하고 마지막 승부해보길 바란다, 팀이 완전 무너졌는데 어떻게 팬들에게 이렇게 무기력한 모습을 보이는가? 프로구단이라면 이러면 안되지.. 뭔가 최선을 다하는 모습을 보여야하는 거 아닌가? 한화나 sk 선수들이 삼성선수들만큼 무기력하지않다,그리고 감독 말 좀 아껴라,, 시즌 다 끝나가는데 반격은 무슨 반격? 감독 모두의 책임이라기보단 감독,수석,타코 ,투코 모두 책임이 있다,, 원년팬으로서 타격만 보면 올해가 삼성이 82년이래 타격이 가장 약하다, 아직 홈런 10개 친 님도 없다,투수가 무너졌지 타격이 이런 적은 기억이 잘 안난다,,   
6	2020-08-26	2020-08-26	22:12:00	때리치라 전부다 	진짜 어이가엄써요. 이경기를 뒤집히네?최지강이보다 빠따를 욕해라. 이건뭐끈기도없어 올해는 스크랑 한화가 도와주는줄알아라..30년 삼성팬..이제 지친다..리빌딩? 개꿈도꾸지마라 
7	2020-08-26	2020-08-26	22:11:00	9회등판 왼손 이상민투수 괜찮아 보인다 	잘 키우면 불펜 추격조내지는 승리조에 일조할듯 왼손 제구력있는 투수가 삼성은 필요했는데 가능성이 있는 선수다  
8	2020-08-26	2020-08-26	22:11:00	감독이 이길맘이 없어요 	이길려고 했으면 이성규 타석때 대타를 냈어야 하고...허윤동이 아니라 김대우를 대체 선발로 냈어야 함...말로는 버티기 버티기 하는데 실상은 그랗지 않으니 ㅎ작년보다 잘한다 잘한다 하니깐 아주 막장으로 경기 운영을 하네 진짜...아니면 5강 포기 했다고 하고 신인급들한테 기횔주세요...이것도 저것도 아니고 뭐하는건지...최지광도 요즘 기복이 심하고... 작년처럼 후반기엔 성적이 더 나빠지는간 아닌지...이쯤되면 본인 피지컬 문제인듯...체력적으로 딸리니 자꾸 얻어 맞는듯하고...참 아쉽네요...최지광이 또 무너질줄 ㅠㅠ여러모로 아쉬운 경기 
9	2020-08-26	2020-08-26	22:09:00	용달매직은 어디에 있는가요??? 	타격코치가 선수들 타격을 망치는거 같아요??본인 아집에 올드한 야구이론이 문제인지... 김종훈 코치 1군승격이 맞지 싶은거 같아요? 코치가 웨이팅 싸인이나 .. 구종선택 코스잡아야 되는데 긴장하고 못치면 초구 스트라이크 잡는공이 거의 변화구 가운데 인데 하위타선에 지정을 해주던지요. 삼진아님 전부다 내야땅볼 인가요,어짜피 죽는거 히트앤런 해서 하나는 살게 하던지요.. 타격코치 분위기 전환차원서 교체 바랍니다.용달차 하시는분 연결해서 태워드리겠습니다. 안전하게요 
