,Unnamed: 0,reviews,label
74233,74999,우리 경기도 이천시 내 고향에서 노팅 힐 영화를 봤어요. ,1
76857,77676,볼만한 영화 여운이 남네요 ,1
79658,80500,정말이지 상상력에 놀라움을 금치 못함... 재미도 있고 여러모로 유익했음!!! ,1
92355,93238,포스터에서 주인공이 울고있던 이유 ,1
24842,24907,잔잔하면서도 힐링되는 음악의 선율이 감동적이다 ,1
12217,12244,비포 선라이즈가 에단호크를 위한 영화였다면 비포 선셋은 줄리델피의 영화 ,1
1101,1104,잔잔한 감동과 여운이 남습니다. 많이 힐링되네요. 한편으로 많이 부러웠습니다. ,1
124575,125712,나만 보기 아까운 영화다 이런 명작은 다같이 공유해야한다 우리 모두가 클레멘타인을 공유하듯이 ,1
21505,21702,자기가 남한테 아무 관심이 없더라도 꼭 봐야하는 영화라고 생각한다. ,1
110052,111085,적국의 음악을 부르는 청춘들의 이야기 ,1
10530,10564,우아하고 극적인 셰익스피어의 비극을 눈으로 보았다. 대본은 그 자체로 서사시가 되었다. 인간의 본성에 대해 심미적인 태도 보다는 어두운 그 본성의 두려움을 느낀다. ,1
23150,23354,오랜만에 DC에서 영화 제대로 만들었네유머코드도 억지스럽지 않고 잘 녹아들었고이게 기대치 최저에서 봐서 그런진 몰라도 잘만든거 같다 ,1
105719,106701,개봉일에 보고왔습니다. 저는 08년에 고3이어서 언론인 파업도 해직된 기자분들의 현실도 모른채 더이상 진실을 말하지않는 뉴스와 매체만 욕하고 외면했습니다.. 이 영화를 보고나서야 이유를 알았네요.. 언론인분들 잊지않...,1
2924,2932,VHS 시절에 몇 번을 돌려봤는지 모른다. 정말 두말할 나위 없는 명작. ,1
68463,69153,배우들의 연기 덕분에 몰입도는 더 업.. 오랜만에 제대로된 스릴러물을 만난듯 ,1
56541,57088,"<호두까기 인형과 4개의 왕국>, <메리포핀스 리턴즈> 에서 디즈니 실사에 다소 실망감이 있어서 별 기대를 안 하고봤는데 기대 이상으로 너무 좋았어요. 감동포인트도 많았고, 특히 원작과 다르게 ...",1
71552,72248,이번생은 망했어 란 소리를 더 이상 못하겠다. 난해한게 단점이자 장점인 듯. 평소고민하던글쓰기에 대한 고민이 촤르륵 해결. 극이 끝나고어둠이 몰려오고 인물들은 죽고내일의 해가 뜨면 인물들...,1
85976,86842,한번 피었다 시드는 것은 꽃이나 인생이나 마찬가지인것을 ,1
44531,44976,앓다죽을 마이 페이보릿 호러♥ ,1
25730,25796,마지막 본 투 비 블루 라고 말하는 쳇의 대사가 너무나 울컥했다 ,1
117177,118266,재밌었어요 라미란님 진지한것도 좋은데 코믹영화도 진짜 잘하시는 듯 ,1
66007,66681,영화관에서 직접 봤는데 정말 오랜만에 돈이 아깝지 않은 영화 였음 ㅠㅠ 여기서 또 구매해서 봐야겠어요 ,1
137349,138632,감동스토리네요. 우리에게 많은 교훈을 주는 영화같습니다. ,1
94722,95607,"충격적인 장면, 계속 되는 긴장감, 아역의 연기. ",1
3806,3815,와... 진짜 감탄사뿐이 안나오는 영화내요ㅜㅜ 정말 재밌게봤어요!! ,1
