모델이름,성능,step,ckpt,consoloutput,설명,날짜,참조,비고,사용 모델 명,서버
BASEELECTRA_COS,0.89982,1000,BASEELECTRA_COS,0904_cos.txt,,09월 04일,,"20epoch, 150배치, lr=5e-6",,218
BASEELECTRA_COS_NEG,0.89924,1000,BASEELECTRA_COS_NEG,0904_cos_neg.txt,,09월 04일,,"20epoch, 150배치, lr=5e-6",,218
BASEELECTRA_COS2,0.89996,1000,BASEELECTRA_COS2,0904_cos2.txt,,09월 04일,,"20epoch, 150배치, lr=5e-6",,218
BASEELECTRA_COS2_NEG,0.89858,2000,BASEELECTRA_COS2_NEG,0903_cos2_neg.txt,,09월 03일,,"20epoch, 150배치, lr=5e-6",,218
BASEELECTRA_COS2_STAR_NEG,0.89832,2000,BASEELECTRA_COS2_STAR_NEG,0903_star_neg.txt,,09월 03일,,"20epoch, 150배치, lr=5e-6",,218
BASEELECTRA_COS2_STAR_NEG_EMB,0.90012,1000,BASEELECTRA_COS2_STAR_NEG_EMB,0905_cos2_neg_new_tanh.out,,09월 05일,,"20epoch, 150배치, lr=5e-5",,218
BASEELECTRA_COS2_STAR_NEG,0.8973,1000,BASEELECTRA_COS2_STAR_NEG,0903_star_neg.txt,,09월 03일,,"20epoch, 375배치, lr=5e-6",,217
BASEELECTRA_COS2,0.898,1000,BASEELECTRA_COS2,0904_cos2.txt,,09월 04일,,"20epoch, 375배치, lr=5e-6",,217
BASEELECTRA_COS_NEG,,1000,BASEELECTRA_COS2,0904_cos_neg.txt,,09월 04일,,"20epoch, 375배치, lr=5e-6",,217
BASEELECTRA_COS2_STAR_NEG,0.9013,1000,BASEELECTRA_COS2_STAR_NEG_2,0904_star_neg.txt,,09월 04일,,"30epoch, 375배치, lr=5e-5",,217
EMB_ATT_LSTM_ATT,0.89958,9018,EMB_ATT_LSTM_ATT,EMB_ATT_LSTM_ATT.out,,09월 04일,,"20epoch, 150배치, lr=5e-6",,225
BASEELECTRA,0.89928,8016,BASEELECTRA,BASEELECTRA.out,,09월 04일,,"20epoch, 150배치, lr=5e-6",,218
BASEELECTRA_COS2_STAR_NEG_EMB,0.90308,1000,BASEELECTRA_COS2_STAR_NEG_EMB_notan_fix,cos2_star_neg_fix.out,,09월 05일,,"20epoch, 375배치, lr=5e-6",,217
LSTM_ATT,0.90222,12024,LSTM_ATT,LSTM_ATT.out,,09월 05일,,"20epoch, 150배치, lr=5e-6",,218
EMB_ATT_LSTM_ATT_ver2,0.90262,19038,EMB_ATT_LSTM_ATT_ver2,EMB_ATT_LSTM_ATT_ver2.out,,09월 05일,,"20epoch, 150배치, lr=5e-5",,218
