model,성능,st2st,st2star,star2star,설명,날짜,비고,서버,BATCH,EPOCH,LR,MARGIN,DELTA_1,DELTA_2,DELTA_3,검토1,검토2,검토3,
BASE,0.9021,none,none,none,BASEELECTRA,09월 09일,base_30_2.txt/BASEELECTRA_30_2,218,128,30,5.00E-05,none,none,none,none,,,,
LSTM_ATT,0.90402,none,none,none,,,,218,128,30,5.00E-05,none,none,none,none,,,,
,0.90054,neg,neg,none,BASEELECTRA_COS2_STAR_NEG_EMB,09월 09일,star_neg_30.txt/BASEELECTRA_COS2_STAR_NEG_EMB_30,218,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.8984,all,neg,none,BASEELECTRA_COS2_ALL_NEG,09월 10일,all_neg_30.out/BASEELECTRA_COS2_ALL_NEG_30,217,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.90254,all,all,none,BASEELECTRA_COS2_ALL_ALL,09월 10일,all_all_30.out/BASEELECTRA_COS2_ALL_ALL_30,217,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,error(loss2 = loss2 / (len_p * len_p + len_n * len_n))
,,all,all,none,BASEELECTRA_COS2_ALL_ALL,09월 11일,ALL_ALL_fix.out/BASEELECTRA_COS2_ALL_ALL_fix_30,218,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.90294,all,pos,none,BASEELECTRA_COS2_EMB,09월 09일,cos2_neg_emb_30.txt/BASEELECTRA_COS2_EMB_30,218,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.89856,pos,pos,none,BASEELECTRA_COS2_POS_POS,09월 10일,pos_pos_30.out/BASEELECTRA_COS2_POS_POS_30,218,128,30,5.00E-05,1,0.5,0.5,none,,,,
,0.90218,none,pos,neg,BASEELECTRA_COS2_NONE_POS_NEG,09월 10일,none_pos_neg.out/BASEELECTRA_COS2_NONE_POS_NEG_30,ksw2,128,30,5.00E-05,-0.5,none,0.5,0.5,,,,
,0.9029,none,pos,neg, BASEELECTRA_COS2_POS_POS_NEG,09월 10일,posposneg.out/BASEELECTRA_COS2_POS_POS_NEG,218,128,30,5.00E-05,-0.5,none,0.5,0.5,,,,? 같은걸로해도 성능이 다름?
,0.90087,all,none,none,BASEELECTRA_COS,09월 09일,cos_30_05.txt/BASEELECTRA_COS_30_05,217,128,30,5.00E-05,-0.5,0.5,none,none,,,,
,0.90138,pos,none,none,BASEELECTRA_COS2_POS,09월 10일,pos_30.out/BASEELECTRA_COS2_POS_30,218,128,30,5.00E-05,1,0.5,none,none,,,,
,0.90138,pos,none,none,BASEELECTRA_COS2_POS,09월 10일,pos_fix.out/BASEELECTRA_COS2_POS_05_30,218,128,30,5.00E-05,1,1,none,none,,,,
,0.9011,neg,none,none,BASEELECTRA_COS_NEG,09월 08일,cos_neg_30.txt/BASEELECTRA_COS_NEG_30,217,128,30,5.00E-05,-0.5,0.5,none,none,,,,
,0.90246,neg,pos,none,BASEELECTRA_COS2_NEG_EMB,09월 09일,cos2_neg_emb_30.txt/BASEELECTRA_COS2_NEG_EMB_30,218,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.9007,neg,all,none,BASEELECTRA_COS2_NEG_ALL,09월 10일,BASEELECTRA_COS2_NEG_ALL_30,217,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.89968,pos,all,none,BASEELECTRA_COS2_POS_ALL_30,09월 10일,BASEELECTRA_COS2_POS_ALL_30,ksw2,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.90268,pos,neg,none,BASEELECTRA_COS2_POS_NEG,09월 10일,BASEELECTRA_COS2_POS_NEG_30,,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,0.9027,pos,pos,neg,BASEELECTRA_COS2_POS_POS_NEG,09월 10일,posposneg.out/BASEELECTRA_COS2_POS_POS_NEG_30,217,128,30,5.00E-05,-0.5,0.5,0.5,0.5,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,128,30,5.00E-05,0.5,0.5,0.5,none,,,,
,,,,,,,,,128,30,5.00E-05,-0.5,0.5,0.5,none,,,,
,,,,,,,,,128,30,5.00E-05,0,0.5,0.5,none,,,,
,,,,,,,,,128,30,5.00E-05,-1,0.5,0.5,none,,,,
,,,,,,,,,128,30,5.00E-05,,0.1,0.1,none,,,,
,,,,,,,,,128,30,5.00E-05,,1,1,none,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,218,128,100,5.00E-05,,,,,,,,
,,,,,,,,218,128,30,5.00E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,0.90368,neg,neg,,BASEELECTRA_COS2_STAR_NEG_EMB,,BASEELECTRA_COS2_STAR_NEG_EMB,217,550,100,5.00E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
KOSAC_ATT_LSTM,0.90368,,,,,,,218,128,30,5.00E-05,,,,,,,,
SENTIMENT_LSTM_ATT,0.90422,,,,,,,218,128,100,5.00E-05,,,,,,,,
SENTIMENT_LSTM_ATT,,,,,,,,218,128,100,2.00E-05,,,,,,,,
SENTIMENT_LSTM_ATT,,,,,,,,218,128,100,1.60E-05,,,,,,,,
